Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
11,CHN,5,11,12,28,1988,South Korea
12,GBR,5,10,9,24,1988,South Korea
13,KEN,5,2,2,9,1988,South Korea
14,JPN,4,3,7,14,1988,South Korea
15,AUS,3,6,5,14,1988,South Korea
16,YUG,3,4,5,12,1988,South Korea
17,CZE,3,3,2,8,1988,South Korea
18,NZL,3,2,8,13,1988,South Korea
19,CAN,3,2,5,10,1988,South Korea
20,POL,2,5,9,16,1988,South Korea
21,NOR,2,3,0,5,1988,South Korea
22,NED,2,2,5,9,1988,South Korea
23,DEN,2,1,1,4,1988,South Korea
24,BRA,1,2,3,6,1988,South Korea
25,FIN,1,1,2,4,1988,South Korea
25,ESP,1,1,2,4,1988,South Korea
27,TUR,1,1,0,2,1988,South Korea
28,MAR,1,0,2,3,1988,South Korea
29,AUT,1,0,0,1,1988,South Korea
29,POR,1,0,0,1,1988,South Korea
29,SUR,1,0,0,1,1988,South Korea
32,SWE,0,4,7,11,1988,South Korea
33,SUI,0,2,2,4,1988,South Korea
34,JAM,0,2,0,2,1988,South Korea
35,ARG,0,1,1,2,1988,South Korea
36,CHI,0,1,0,1,1988,South Korea
36,CRC,0,1,0,1,1988,South Korea
36,INA,0,1,0,1,1988,South Korea
36,IRI,0,1,0,1,1988,South Korea
36,AHO,0,1,0,1,1988,South Korea
36,PER,0,1,0,1,1988,South Korea
36,SEN,0,1,0,1,1988,South Korea
36,ISV,0,1,0,1,1988,South Korea
44,BEL,0,0,2,2,1988,South Korea
44,MEX,0,0,2,2,1988,South Korea
46,COL,0,0,1,1,1988,South Korea
46,DJI,0,0,1,1,1988,South Korea
46,GRE,0,0,1,1,1988,South Korea
46,MGL,0,0,1,1,1988,South Korea
46,PAK,0,0,1,1,1988,South Korea
46,PHI,0,0,1,1,1988,South Korea
46,THA,0,0,1,1,1988,South Korea
1,EUN,45,38,29,112,1992,Spain
2,USA,37,34,37,108,1992,Spain
3,GER,33,21,28,82,1992,Spain
4,CHN,16,22,16,54,1992,Spain
5,CUB,14,6,11,31,1992,Spain
6,ESP,13,7,2,22,1992,Spain
7,KOR,12,5,12,29,1992,Spain
8,HUN,11,12,7,30,1992,Spain
9,FRA,8,5,16,29,1992,Spain
10,AUS,7,9,11,27,1992,Spain
11,CAN,7,4,7,18,1992,Spain
12,ITA,6,5,8,19,1992,Spain
13,GBR,5,3,12,20,1992,Spain
14,ROU,4,6,8,18,1992,Spain
15,CZE,4,2,1,7,1992,Spain
16,PRK,4,0,5,9,1992,Spain
17,JPN,3,8,11,22,1992,Spain
18,BUL,3,7,6,16,1992,Spain
19,POL,3,6,10,19,1992,Spain
20,NED,2,6,7,15,1992,Spain
21,KEN,2,4,2,8,1992,Spain
22,NOR,2,4,1,7,1992,Spain
23,TUR,2,2,2,6,1992,Spain
24,INA,2,2,1,5,1992,Spain
25,BRA,2,1,0,3,1992,Spain
26,GRE,2,0,0,2,1992,Spain
27,SWE,1,7,4,12,1992,Spain
28,NZL,1,4,5,10,1992,Spain
29,FIN,1,2,2,5,1992,Spain
30,DEN,1,1,4,6,1992,Spain
31,MAR,1,1,1,3,1992,Spain
32,IRL,1,1,0,2,1992,Spain
33,ETH,1,0,2,3,1992,Spain
34,ALG,1,0,1,2,1992,Spain
34,EST,1,0,1,2,1992,Spain
34,LTU,1,0,1,2,1992,Spain
37,SUI,1,0,0,1,1992,Spain
38,JAM,0,3,1,4,1992,Spain
38,NGR,0,3,1,4,1992,Spain
40,LAT,0,2,1,3,1992,Spain
41,AUT,0,2,0,2,1992,Spain
41,NAM,0,2,0,2,1992,Spain
41,RSA,0,2,0,2,1992,Spain
44,BEL,0,1,2,3,1992,Spain
44,CRO,0,1,2,3,1992,Spain
44,Independent Olympic Participants,0,1,2,3,1992,Spain
44,IRI,0,1,2,3,1992,Spain
48,ISR,0,1,1,2,1992,Spain
49,TPE,0,1,0,1,1992,Spain
49,MEX,0,1,0,1,1992,Spain
49,PER,0,1,0,1,1992,Spain
52,MGL,0,0,2,2,1992,Spain
52,SLO,0,0,2,2,1992,Spain
54,ARG,0,0,1,1,1992,Spain
54,BAH,0,0,1,1,1992,Spain
54,COL,0,0,1,1,1992,Spain
54,GHA,0,0,1,1,1992,Spain
54,MAS,0,0,1,1,1992,Spain
54,PAK,0,0,1,1,1992,Spain
54,PHI,0,0,1,1,1992,Spain
54,PUR,0,0,1,1,1992,Spain
54,QAT,0,0,1,1,1992,Spain
54,SUR,0,0,1,1,1992,Spain
54,THA,0,0,1,1,1992,Spain
1,USA,44,32,25,101,1996,United States
2,RUS,26,21,16,63,1996,United States
3,GER,20,18,27,65,1996,United States
4,CHN,16,22,12,50,1996,United States
5,FRA,15,7,15,37,1996,United States
6,ITA,13,10,12,35,1996,United States
7,AUS,9,9,23,41,1996,United States
8,CUB,9,8,8,25,1996,United States
9,UKR,9,2,12,23,1996,United States
10,KOR,7,15,5,27,1996,United States
11,POL,7,5,5,17,1996,United States
12,HUN,7,4,10,21,1996,United States
13,ESP,5,6,6,17,1996,United States
14,ROU,4,7,9,20,1996,United States
15,NED,4,5,10,19,1996,United States
16,GRE,4,4,0,8,1996,United States
17,CZE,4,3,4,11,1996,United States
18,SUI,4,3,0,7,1996,United States
19,DEN,4,1,1,6,1996,United States
19,TUR,4,1,1,6,1996,United States
21,CAN,3,11,8,22,1996,United States
22,BUL,3,7,5,15,1996,United States
23,JPN,3,6,5,14,1996,United States
24,KAZ,3,4,4,11,1996,United States
25,BRA,3,3,9,15,1996,United States
26,NZL,3,2,1,6,1996,United States
27,RSA,3,1,1,5,1996,United States
28,IRL,3,0,1,4,1996,United States
29,SWE,2,4,2,8,1996,United States
30,NOR,2,2,3,7,1996,United States
31,BEL,2,2,2,6,1996,United States
32,NGR,2,1,3,6,1996,United States
33,PRK,2,1,2,5,1996,United States
34,ALG,2,0,1,3,1996,United States
34,ETH,2,0,1,3,1996,United States
36,GBR,1,8,6,15,1996,United States
37,BLR,1,6,8,15,1996,United States
38,KEN,1,4,3,8,1996,United States
39,JAM,1,3,2,6,1996,United States
40,FIN,1,2,1,4,1996,United States
41,YUG,1,1,2,4,1996,United States
41,INA,1,1,2,4,1996,United States
43,IRI,1,1,1,3,1996,United States
43,SVK,1,1,1,3,1996,United States
45,ARM,1,1,0,2,1996,United States
45,CRO,1,1,0,2,1996,United States
47,POR,1,0,1,2,1996,United States
47,THA,1,0,1,2,1996,United States
49,BDI,1,0,0,1,1996,United States
49,CRC,1,0,0,1,1996,United States
49,ECU,1,0,0,1,1996,United States
49,HKG,1,0,0,1,1996,United States
49,SYR,1,0,0,1,1996,United States
54,ARG,0,2,1,3,1996,United States
55,NAM,0,2,0,2,1996,United States
55,SLO,0,2,0,2,1996,United States
57,AUT,0,1,2,3,1996,United States
58,MAS,0,1,1,2,1996,United States
58,MDA,0,1,1,2,1996,United States
58,UZB,0,1,1,2,1996,United States
61,AZE,0,1,0,1,1996,United States
61,BAH,0,1,0,1,1996,United States
61,TPE,0,1,0,1,1996,United States
61,LAT,0,1,0,1,1996,United States
61,PHI,0,1,0,1,1996,United States
61,TGA,0,1,0,1,1996,United States
61,ZAM,0,1,0,1,1996,United States
68,GEO,0,0,2,2,1996,United States
68,MAR,0,0,2,2,1996,United States
68,TTO,0,0,2,2,1996,United States
71,IND,0,0,1,1,1996,United States
71,ISR,0,0,1,1,1996,United States
71,LTU,0,0,1,1,1996,United States
71,MEX,0,0,1,1,1996,United States
71,MGL,0,0,1,1,1996,United States
71,MOZ,0,0,1,1,1996,United States
71,PUR,0,0,1,1,1996,United States
71,TUN,0,0,1,1,1996,United States
71,UGA,0,0,1,1,1996,United States
1,USA,37,24,32,93,2000,Australia
2,RUS,32,28,29,89,2000,Australia
3,CHN,28,16,14,58,2000,Australia
4,AUS,16,25,17,58,2000,Australia
5,GER,13,17,26,56,2000,Australia
6,FRA,13,14,11,38,2000,Australia
7,ITA,13,8,13,34,2000,Australia
8,NED,12,9,4,25,2000,Australia
9,CUB,11,11,7,29,2000,Australia
10,GBR,11,10,7,28,2000,Australia
11,ROU,11,6,9,26,2000,Australia
12,KOR,8,10,10,28,2000,Australia
13,HUN,8,6,3,17,2000,Australia
14,POL,6,5,3,14,2000,Australia
15,JPN,5,8,5,18,2000,Australia
16,BUL,5,6,2,13,2000,Australia
17,GRE,4,6,3,13,2000,Australia
18,SWE,4,5,3,12,2000,Australia
19,NOR,4,3,3,10,2000,Australia
20,ETH,4,1,3,8,2000,Australia
21,UKR,3,10,10,23,2000,Australia
22,KAZ,3,4,0,7,2000,Australia
23,BLR,3,3,11,17,2000,Australia
24,CAN,3,3,8,14,2000,Australia
25,ESP,3,3,5,11,2000,Australia
26,TUR,3,0,2,5,2000,Australia
27,IRI,3,0,1,4,2000,Australia
28,CZE,2,3,3,8,2000,Australia
29,KEN,2,3,2,7,2000,Australia
30,DEN,2,3,1,6,2000,Australia
31,FIN,2,1,1,4,2000,Australia
32,AUT,2,1,0,3,2000,Australia
33,LTU,2,0,3,5,2000,Australia
34,AZE,2,0,1,3,2000,Australia
34,BAH,2,0,1,3,2000,Australia
36,SLO,2,0,0,2,2000,Australia
37,SUI,1,6,2,9,2000,Australia
38,INA,1,3,2,6,2000,Australia
39,SVK,1,3,1,5,2000,Australia
40,MEX,1,2,3,6,2000,Australia
41,NGR,1,2,0,3,2000,Australia
42,ALG,1,1,3,5,2000,Australia
43,UZB,1,1,2,4,2000,Australia
44,YUG,1,1,1,3,2000,Australia
44,LAT,1,1,1,3,2000,Australia
46,NZL,1,0,3,4,2000,Australia
47,EST,1,0,2,3,2000,Australia
47,THA,1,0,2,3,2000,Australia
49,CRO,1,0,1,2,2000,Australia
50,CMR,1,0,0,1,2000,Australia
50,COL,1,0,0,1,2000,Australia
50,MOZ,1,0,0,1,2000,Australia
53,BRA,0,6,6,12,2000,Australia
54,JAM,0,6,3,9,2000,Australia
55,BEL,0,2,3,5,2000,Australia
55,RSA,0,2,3,5,2000,Australia
57,ARG,0,2,2,4,2000,Australia
58,TPE,0,1,4,5,2000,Australia
58,MAR,0,1,4,5,2000,Australia
60,PRK,0,1,3,4,2000,Australia
61,MDA,0,1,1,2,2000,Australia
61,KSA,0,1,1,2,2000,Australia
61,TTO,0,1,1,2,2000,Australia
64,IRL,0,1,0,1,2000,Australia
64,SRI,0,1,0,1,2000,Australia
64,URU,0,1,0,1,2000,Australia
64,VIE,0,1,0,1,2000,Australia
68,GEO,0,0,6,6,2000,Australia
69,CRC,0,0,2,2,2000,Australia
69,POR,0,0,2,2,2000,Australia
71,ARM,0,0,1,1,2000,Australia
71,BAR,0,0,1,1,2000,Australia
71,CHI,0,0,1,1,2000,Australia
71,ISL,0,0,1,1,2000,Australia
71,IND,0,0,1,1,2000,Australia
71,ISR,0,0,1,1,2000,Australia
71,KUW,0,0,1,1,2000,Australia
71,KGZ,0,0,1,1,2000,Australia
71,MKD,0,0,1,1,2000,Australia
71,QAT,0,0,1,1,2000,Australia
1,USA,36,39,26,101,2004,Greece
2,CHN,32,17,14,63,2004,Greece
3,RUS,28,26,36,90,2004,Greece
4,AUS,17,16,17,50,2004,Greece
5,JPN,16,9,12,37,2004,Greece
6,GER,13,16,20,49,2004,Greece
7,FRA,11,9,13,33,2004,Greece
8,ITA,10,11,11,32,2004,Greece
9,KOR,9,12,9,30,2004,Greece
10,GBR,9,9,12,30,2004,Greece
11,CUB,9,7,11,27,2004,Greece
12,HUN,8,6,3,17,2004,Greece
13,UKR,8,5,9,22,2004,Greece
14,ROU,8,5,6,19,2004,Greece
15,GRE,6,6,4,16,2004,Greece
16,BRA,5,2,3,10,2004,Greece
17,NOR,5,0,1,6,2004,Greece
18,NED,4,9,9,22,2004,Greece
19,SWE,4,2,1,7,2004,Greece
20,ESP,3,11,6,20,2004,Greece
21,CAN,3,6,3,12,2004,Greece
22,TUR,3,3,4,10,2004,Greece
23,POL,3,2,5,10,2004,Greece
24,NZL,3,2,0,5,2004,Greece
25,THA,3,1,4,8,2004,Greece
26,BLR,2,5,6,13,2004,Greece
27,AUT,2,4,1,7,2004,Greece
28,ETH,2,3,2,7,2004,Greece
29,IRI,2,2,2,6,2004,Greece
29,SVK,2,2,2,6,2004,Greece
31,TPE,2,2,1,5,2004,Greece
32,GEO,2,2,0,4,2004,Greece
33,BUL,2,1,9,12,2004,Greece
34,DEN,2,1,5,8,2004,Greece
35,JAM,2,1,2,5,2004,Greece
35,UZB,2,1,2,5,2004,Greece
37,MAR,2,1,0,3,2004,Greece
38,ARG,2,0,4,6,2004,Greece
39,CHI,2,0,1,3,2004,Greece
40,KAZ,1,4,3,8,2004,Greece
41,KEN,1,4,2,7,2004,Greece
42,CZE,1,3,5,9,2004,Greece
43,RSA,1,3,2,6,2004,Greece
44,CRO,1,2,2,5,2004,Greece
45,LTU,1,2,0,3,2004,Greece
46,EGY,1,1,3,5,2004,Greece
46,SUI,1,1,3,5,2004,Greece
48,INA,1,1,2,4,2004,Greece
49,ZIM,1,1,1,3,2004,Greece
50,AZE,1,0,4,5,2004,Greece
51,BEL,1,0,2,3,2004,Greece
52,BAH,1,0,1,2,2004,Greece
52,ISR,1,0,1,2,2004,Greece
54,CMR,1,0,0,1,2004,Greece
54,DOM,1,0,0,1,2004,Greece
54,UAE,1,0,0,1,2004,Greece
57,PRK,0,4,1,5,2004,Greece
58,LAT,0,4,0,4,2004,Greece
59,MEX,0,3,1,4,2004,Greece
60,POR,0,2,1,3,2004,Greece
61,FIN,0,2,0,2,2004,Greece
61,SCG,0,2,0,2,2004,Greece
63,SLO,0,1,3,4,2004,Greece
64,EST,0,1,2,3,2004,Greece
65,HKG,0,1,0,1,2004,Greece
65,IND,0,1,0,1,2004,Greece
65,PAR,0,1,0,1,2004,Greece
68,COL,0,0,2,2,2004,Greece
68,NGR,0,0,2,2,2004,Greece
68,VEN,0,0,2,2,2004,Greece
71,ERI,0,0,1,1,2004,Greece
71,MGL,0,0,1,1,2004,Greece
71,SYR,0,0,1,1,2004,Greece
71,TTO,0,0,1,1,2004,Greece
1,CHN,48,22,30,100,2008,China
2,USA,36,39,37,112,2008,China
3,RUS,24,13,23,60,2008,China
4,GBR,19,13,19,51,2008,China
5,GER,16,11,14,41,2008,China
6,AUS,14,15,17,46,2008,China
7,KOR,13,11,8,32,2008,China
8,JPN,9,8,8,25,2008,China
9,ITA,8,9,10,27,2008,China
10,FRA,7,16,20,43,2008,China
11,NED,7,5,4,16,2008,China
12,UKR,7,4,11,22,2008,China
13,KEN,6,4,6,16,2008,China
14,ESP,5,11,3,19,2008,China
15,JAM,5,4,2,11,2008,China
16,POL,4,5,2,11,2008,China
17,ETH,4,2,1,7,2008,China
18,ROU,4,1,4,9,2008,China
19,CUB,3,10,17,30,2008,China
20,CAN,3,9,8,20,2008,China
21,HUN,3,5,2,10,2008,China
22,NOR,3,5,1,9,2008,China
23,BRA,3,4,10,17,2008,China
24,BLR,3,4,7,14,2008,China
25,CZE,3,3,1,7,2008,China
26,SVK,3,3,0,6,2008,China
27,NZL,3,2,4,9,2008,China
28,GEO,3,2,2,7,2008,China
29,KAZ,2,3,4,9,2008,China
30,DEN,2,2,3,7,2008,China
31,PRK,2,2,2,6,2008,China
31,THA,2,2,2,6,2008,China
33,MGL,2,2,0,4,2008,China
34,SUI,2,1,4,7,2008,China
35,ARG,2,0,4,6,2008,China
36,MEX,2,0,2,4,2008,China
37,BEL,2,0,0,2,2008,China
38,ZIM,1,3,0,4,2008,China
39,SLO,1,2,2,5,2008,China
40,AZE,1,1,4,6,2008,China
40,INA,1,1,4,6,2008,China
42,BUL,1,1,3,5,2008,China
42,TUR,1,1,3,5,2008,China
44,TPE,1,1,2,4,2008,China
44,FIN,1,1,2,4,2008,China
46,LAT,1,1,1,3,2008,China
47,DOM,1,1,0,2,2008,China
47,EST,1,1,0,2,2008,China
47,POR,1,1,0,2,2008,China
47,TTO,1,1,0,2,2008,China
51,IND,1,0,2,3,2008,China
52,IRI,1,0,1,2,2008,China
53,CMR,1,0,0,1,2008,China
53,PAN,1,0,0,1,2008,China
53,TUN,1,0,0,1,2008,China
56,SWE,0,4,1,5,2008,China
57,LTU,0,3,2,5,2008,China
57,NGR,0,3,2,5,2008,China
59,CRO,0,2,3,5,2008,China
60,COL,0,2,1,3,2008,China
60,GRE,0,2,1,3,2008,China
62,ARM,0,1,4,5,2008,China
63,UZB,0,1,3,4,2008,China
64,AUT,0,1,2,3,2008,China
64,IRL,0,1,2,3,2008,China
64,KGZ,0,1,2,3,2008,China
64,SRB,0,1,2,3,2008,China
68,ALG,0,1,1,2,2008,China
68,BAH,0,1,1,2,2008,China
68,MAR,0,1,1,2,2008,China
68,TJK,0,1,1,2,2008,China
72,CHI,0,1,0,1,2008,China
72,ECU,0,1,0,1,2008,China
72,ISL,0,1,0,1,2008,China
72,MAS,0,1,0,1,2008,China
72,SAM,0,1,0,1,2008,China
72,SGP,0,1,0,1,2008,China
72,RSA,0,1,0,1,2008,China
72,SUD,0,1,0,1,2008,China
72,VIE,0,1,0,1,2008,China
81,EGY,0,0,2,2,2008,China
82,AFG,0,0,1,1,2008,China
82,ISR,0,0,1,1,2008,China
82,MRI,0,0,1,1,2008,China
82,MDA,0,0,1,1,2008,China
82,TOG,0,0,1,1,2008,China
82,VEN,0,0,1,1,2008,China
1,USA,48,26,30,104,2012,United Kingdom
2,CHN,39,31,22,92,2012,United Kingdom
3,GBR,29,18,18,65,2012,United Kingdom
4,RUS,18,21,26,65,2012,United Kingdom
5,KOR,13,9,9,31,2012,United Kingdom
6,GER,11,20,13,44,2012,United Kingdom
7,FRA,11,11,13,35,2012,United Kingdom
8,AUS,8,15,12,35,2012,United Kingdom
9,ITA,8,9,11,28,2012,United Kingdom
10,HUN,8,4,6,18,2012,United Kingdom
11,JPN,7,14,17,38,2012,United Kingdom
12,IRI,7,5,1,13,2012,United Kingdom
13,NED,6,6,8,20,2012,United Kingdom
14,NZL,6,2,5,13,2012,United Kingdom
15,UKR,5,4,10,19,2012,United Kingdom
16,CUB,5,3,7,15,2012,United Kingdom
17,ESP,4,10,6,20,2012,United Kingdom
18,JAM,4,5,4,13,2012,United Kingdom
19,CZE,4,4,3,11,2012,United Kingdom
20,RSA,4,1,1,6,2012,United Kingdom
21,PRK,4,0,2,6,2012,United Kingdom
22,BRA,3,5,9,17,2012,United Kingdom
23,KAZ,3,2,6,11,2012,United Kingdom
23,POL,3,2,6,11,2012,United Kingdom
25,ETH,3,2,3,8,2012,United Kingdom
26,CRO,3,1,2,6,2012,United Kingdom
27,CAN,2,6,10,18,2012,United Kingdom
28,BLR,2,5,3,10,2012,United Kingdom
29,KEN,2,4,7,13,2012,United Kingdom
30,DEN,2,4,3,9,2012,United Kingdom
31,ROU,2,4,1,7,2012,United Kingdom
32,AZE,2,2,5,9,2012,United Kingdom
33,SUI,2,2,0,4,2012,United Kingdom
34,NOR,2,1,1,4,2012,United Kingdom
35,LTU,2,0,3,5,2012,United Kingdom
36,TUN,2,0,1,3,2012,United Kingdom
37,SWE,1,4,3,8,2012,United Kingdom
38,COL,1,3,5,9,2012,United Kingdom
39,MEX,1,3,4,8,2012,United Kingdom
40,GEO,1,2,3,6,2012,United Kingdom
41,IRL,1,1,4,6,2012,United Kingdom
42,ARG,1,1,2,4,2012,United Kingdom
42,SRB,1,1,2,4,2012,United Kingdom
42,SLO,1,1,2,4,2012,United Kingdom
42,TTO,1,1,2,4,2012,United Kingdom
46,TUR,1,1,1,3,2012,United Kingdom
47,DOM,1,1,0,2,2012,United Kingdom
48,TPE,1,0,1,2,2012,United Kingdom
48,LAT,1,0,1,2,2012,United Kingdom
50,ALG,1,0,0,1,2012,United Kingdom
50,BAH,1,0,0,1,2012,United Kingdom
50,BRN,1,0,0,1,2012,United Kingdom
50,GRN,1,0,0,1,2012,United Kingdom
50,UGA,1,0,0,1,2012,United Kingdom
50,VEN,1,0,0,1,2012,United Kingdom
56,EGY,0,3,1,4,2012,United Kingdom
57,IND,0,2,4,6,2012,United Kingdom
58,MGL,0,2,3,5,2012,United Kingdom
59,THA,0,2,2,4,2012,United Kingdom
60,BUL,0,2,1,3,2012,United Kingdom
60,FIN,0,2,1,3,2012,United Kingdom
60,INA,0,2,1,3,2012,United Kingdom
63,SVK,0,1,3,4,2012,United Kingdom
64,BEL,0,1,2,3,2012,United Kingdom
65,ARM,0,1,1,2,2012,United Kingdom
65,EST,0,1,1,2,2012,United Kingdom
65,MAS,0,1,1,2,2012,United Kingdom
65,PUR,0,1,1,2,2012,United Kingdom
65,QAT,0,1,1,2,2012,United Kingdom
70,BOT,0,1,0,1,2012,United Kingdom
70,CYP,0,1,0,1,2012,United Kingdom
70,GAB,0,1,0,1,2012,United Kingdom
70,GUA,0,1,0,1,2012,United Kingdom
70,MNE,0,1,0,1,2012,United Kingdom
70,POR,0,1,0,1,2012,United Kingdom
76,UZB,0,0,3,3,2012,United Kingdom
77,GRE,0,0,2,2,2012,United Kingdom
77,SGP,0,0,2,2,2012,United Kingdom
79,AFG,0,0,1,1,2012,United Kingdom
79,CMR,0,0,1,1,2012,United Kingdom
79,HKG,0,0,1,1,2012,United Kingdom
79,KUW,0,0,1,1,2012,United Kingdom
79,MAR,0,0,1,1,2012,United Kingdom
79,KSA,0,0,1,1,2012,United Kingdom
79,TJK,0,0,1,1,2012,United Kingdom
79,VIE,0,0,1,1,2012,United Kingdom
1,USA,46,37,38,121,2016,Brazil
2,GBR,27,23,17,67,2016,Brazil
3,CHN,26,18,26,70,2016,Brazil
4,RUS,19,17,20,56,2016,Brazil
5,GER,17,10,15,42,2016,Brazil
6,JPN,12,8,21,41,2016,Brazil
7,FRA,10,18,14,42,2016,Brazil
8,KOR,9,3,9,21,2016,Brazil
9,ITA,8,12,8,28,2016,Brazil
10,AUS,8,11,10,29,2016,Brazil
11,NED,8,7,4,19,2016,Brazil
12,HUN,8,3,4,15,2016,Brazil
13,BRA,7,6,6,19,2016,Brazil
14,ESP,7,4,6,17,2016,Brazil
15,KEN,6,6,1,13,2016,Brazil
16,JAM,6,3,2,11,2016,Brazil
17,CRO,5,3,2,10,2016,Brazil
18,CUB,5,2,4,11,2016,Brazil
19,NZL,4,9,5,18,2016,Brazil
20,CAN,4,3,15,22,2016,Brazil
21,UZB,4,2,7,13,2016,Brazil
22,COL,3,2,3,8,2016,Brazil
23,SUI,3,2,2,7,2016,Brazil
24,IRI,3,1,4,8,2016,Brazil
25,GRE,3,1,2,6,2016,Brazil
26,ARG,3,1,0,4,2016,Brazil
27,DEN,2,6,7,15,2016,Brazil
28,SWE,2,6,3,11,2016,Brazil
29,RSA,2,6,2,10,2016,Brazil
30,KAZ,2,5,10,17,2016,Brazil
31,UKR,2,5,4,11,2016,Brazil
32,SRB,2,4,2,8,2016,Brazil
33,POL,2,3,6,11,2016,Brazil
34,PRK,2,3,2,7,2016,Brazil
35,BEL,2,2,2,6,2016,Brazil
35,THA,2,2,2,6,2016,Brazil
37,SVK,2,2,0,4,2016,Brazil
38,GEO,2,1,4,7,2016,Brazil
39,AZE,1,7,10,18,2016,Brazil
40,BLR,1,4,4,9,2016,Brazil
41,TUR,1,3,4,8,2016,Brazil
42,ARM,1,3,0,4,2016,Brazil
43,CZE,1,2,7,10,2016,Brazil
44,ETH,1,2,5,8,2016,Brazil
45,SLO,1,2,1,4,2016,Brazil
46,INA,1,2,0,3,2016,Brazil
47,ROU,1,1,2,4,2016,Brazil
48,BRN,1,1,0,2,2016,Brazil
48,VIE,1,1,0,2,2016,Brazil
50,TPE,1,0,2,3,2016,Brazil
51,BAH,1,0,1,2,2016,Brazil
51,Independent Olympic Athletes,1,0,1,2,2016,Brazil
51,CIV,1,0,1,2,2016,Brazil
54,FIJ,1,0,0,1,2016,Brazil
54,JOR,1,0,0,1,2016,Brazil
54,KOS,1,0,0,1,2016,Brazil
54,PUR,1,0,0,1,2016,Brazil
54,SGP,1,0,0,1,2016,Brazil
54,TJK,1,0,0,1,2016,Brazil
60,MAS,0,4,1,5,2016,Brazil
61,MEX,0,3,2,5,2016,Brazil
62,VEN,0,2,1,3,2016,Brazil
63,ALG,0,2,0,2,2016,Brazil
63,IRL,0,2,0,2,2016,Brazil
65,LTU,0,1,3,4,2016,Brazil
66,BUL,0,1,2,3,2016,Brazil
67,IND,0,1,1,2,2016,Brazil
67,MGL,0,1,1,2,2016,Brazil
69,BDI,0,1,0,1,2016,Brazil
69,GRN,0,1,0,1,2016,Brazil
69,NIG,0,1,0,1,2016,Brazil
69,PHI,0,1,0,1,2016,Brazil
69,QAT,0,1,0,1,2016,Brazil
74,NOR,0,0,4,4,2016,Brazil
75,EGY,0,0,3,3,2016,Brazil
75,TUN,0,0,3,3,2016,Brazil
77,ISR,0,0,2,2,2016,Brazil
78,AUT,0,0,1,1,2016,Brazil
78,DOM,0,0,1,1,2016,Brazil
78,EST,0,0,1,1,2016,Brazil
78,FIN,0,0,1,1,2016,Brazil
78,MAR,0,0,1,1,2016,Brazil
78,NGR,0,0,1,1,2016,Brazil
78,POR,0,0,1,1,2016,Brazil
78,TTO,0,0,1,1,2016,Brazil
78,UAE,0,0,1,1,2016,Brazil
1,USA,39,41,33,113,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
2,CHN,38,32,19,89,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
3,JPN,27,14,17,58,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
4,GBR,22,20,22,64,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
5,ROC,20,28,23,71,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
7,NED,10,12,14,36,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
8,FRA,10,12,11,33,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
9,GER,10,11,16,37,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
10,ITA,10,10,20,40,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
11,CAN,7,7,10,24,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
12,BRA,7,6,8,21,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
13,NZL,7,6,7,20,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
14,CUB,7,3,5,15,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
15,HUN,6,7,7,20,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
16,KOR,6,4,10,20,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
17,POL,4,5,5,14,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
18,CZE,4,4,3,11,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
19,KEN,4,4,2,10,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
20,NOR,4,2,2,8,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
21,JAM,4,1,4,9,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
22,ESP,3,8,6,17,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
23,SWE,3,6,0,9,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
24,SUI,3,4,6,13,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
25,DEN,3,4,4,11,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
26,CRO,3,3,2,8,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
27,IRI,3,2,2,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
28,SRB,3,1,5,9,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
