Rank,NOC,Gold,Silver,Bronze,Total,Year,host_NOC
36,CRC,0,1,0,1,1988,KOR
36,INA,0,1,0,1,1988,KOR
36,IRI,0,1,0,1,1988,KOR
36,AHO,0,1,0,1,1988,KOR
36,PER,0,1,0,1,1988,KOR
36,SEN,0,1,0,1,1988,KOR
36,ISV,0,1,0,1,1988,KOR
44,BEL,0,0,2,2,1988,KOR
44,MEX,0,0,2,2,1988,KOR
46,COL,0,0,1,1,1988,KOR
46,DJI,0,0,1,1,1988,KOR
46,GRE,0,0,1,1,1988,KOR
46,MGL,0,0,1,1,1988,KOR
46,PAK,0,0,1,1,1988,KOR
46,PHI,0,0,1,1,1988,KOR
46,THA,0,0,1,1,1988,KOR
1,EUN,45,38,29,112,1992,ESP
2,USA,37,34,37,108,1992,ESP
3,GER,33,21,28,82,1992,ESP
4,CHN,16,22,16,54,1992,ESP
5,CUB,14,6,11,31,1992,ESP
6,ESP,13,7,2,22,1992,ESP
7,KOR,12,5,12,29,1992,ESP
8,HUN,11,12,7,30,1992,ESP
9,FRA,8,5,16,29,1992,ESP
10,AUS,7,9,11,27,1992,ESP
11,CAN,7,4,7,18,1992,ESP
12,ITA,6,5,8,19,1992,ESP
13,GBR,5,3,12,20,1992,ESP
14,ROU,4,6,8,18,1992,ESP
15,CZE,4,2,1,7,1992,ESP
16,PRK,4,0,5,9,1992,ESP
17,JPN,3,8,11,22,1992,ESP
18,BUL,3,7,6,16,1992,ESP
19,POL,3,6,10,19,1992,ESP
20,NED,2,6,7,15,1992,ESP
21,KEN,2,4,2,8,1992,ESP
22,NOR,2,4,1,7,1992,ESP
23,TUR,2,2,2,6,1992,ESP
24,INA,2,2,1,5,1992,ESP
25,BRA,2,1,0,3,1992,ESP
26,GRE,2,0,0,2,1992,ESP
27,SWE,1,7,4,12,1992,ESP
28,NZL,1,4,5,10,1992,ESP
29,FIN,1,2,2,5,1992,ESP
30,DEN,1,1,4,6,1992,ESP
31,MAR,1,1,1,3,1992,ESP
32,IRL,1,1,0,2,1992,ESP
33,ETH,1,0,2,3,1992,ESP
34,ALG,1,0,1,2,1992,ESP
34,EST,1,0,1,2,1992,ESP
34,LTU,1,0,1,2,1992,ESP
37,SUI,1,0,0,1,1992,ESP
38,JAM,0,3,1,4,1992,ESP
38,NGR,0,3,1,4,1992,ESP
40,LAT,0,2,1,3,1992,ESP
41,AUT,0,2,0,2,1992,ESP
41,NAM,0,2,0,2,1992,ESP
41,RSA,0,2,0,2,1992,ESP
44,BEL,0,1,2,3,1992,ESP
44,CRO,0,1,2,3,1992,ESP
44,Independent Olympic Participants,0,1,2,3,1992,ESP
44,IRI,0,1,2,3,1992,ESP
48,ISR,0,1,1,2,1992,ESP
49,TPE,0,1,0,1,1992,ESP
49,MEX,0,1,0,1,1992,ESP
49,PER,0,1,0,1,1992,ESP
52,MGL,0,0,2,2,1992,ESP
52,SLO,0,0,2,2,1992,ESP
54,ARG,0,0,1,1,1992,ESP
54,BAH,0,0,1,1,1992,ESP
54,COL,0,0,1,1,1992,ESP
54,GHA,0,0,1,1,1992,ESP
54,MAS,0,0,1,1,1992,ESP
54,PAK,0,0,1,1,1992,ESP
54,PHI,0,0,1,1,1992,ESP
54,PUR,0,0,1,1,1992,ESP
54,QAT,0,0,1,1,1992,ESP
54,SUR,0,0,1,1,1992,ESP
54,THA,0,0,1,1,1992,ESP
1,USA,44,32,25,101,1996,USA
2,RUS,26,21,16,63,1996,USA
3,GER,20,18,27,65,1996,USA
4,CHN,16,22,12,50,1996,USA
5,FRA,15,7,15,37,1996,USA
6,ITA,13,10,12,35,1996,USA
7,AUS,9,9,23,41,1996,USA
8,CUB,9,8,8,25,1996,USA
9,UKR,9,2,12,23,1996,USA
10,KOR,7,15,5,27,1996,USA
11,POL,7,5,5,17,1996,USA
12,HUN,7,4,10,21,1996,USA
13,ESP,5,6,6,17,1996,USA
14,ROU,4,7,9,20,1996,USA
15,NED,4,5,10,19,1996,USA
16,GRE,4,4,0,8,1996,USA
17,CZE,4,3,4,11,1996,USA
18,SUI,4,3,0,7,1996,USA
19,DEN,4,1,1,6,1996,USA
19,TUR,4,1,1,6,1996,USA
21,CAN,3,11,8,22,1996,USA
22,BUL,3,7,5,15,1996,USA
23,JPN,3,6,5,14,1996,USA
24,KAZ,3,4,4,11,1996,USA
25,BRA,3,3,9,15,1996,USA
26,NZL,3,2,1,6,1996,USA
27,RSA,3,1,1,5,1996,USA
28,IRL,3,0,1,4,1996,USA
29,SWE,2,4,2,8,1996,USA
30,NOR,2,2,3,7,1996,USA
31,BEL,2,2,2,6,1996,USA
32,NGR,2,1,3,6,1996,USA
33,PRK,2,1,2,5,1996,USA
34,ALG,2,0,1,3,1996,USA
34,ETH,2,0,1,3,1996,USA
36,GBR,1,8,6,15,1996,USA
37,BLR,1,6,8,15,1996,USA
38,KEN,1,4,3,8,1996,USA
39,JAM,1,3,2,6,1996,USA
40,FIN,1,2,1,4,1996,USA
41,YUG,1,1,2,4,1996,USA
41,INA,1,1,2,4,1996,USA
43,IRI,1,1,1,3,1996,USA
43,SVK,1,1,1,3,1996,USA
45,ARM,1,1,0,2,1996,USA
45,CRO,1,1,0,2,1996,USA
47,POR,1,0,1,2,1996,USA
47,THA,1,0,1,2,1996,USA
49,BDI,1,0,0,1,1996,USA
49,CRC,1,0,0,1,1996,USA
49,ECU,1,0,0,1,1996,USA
49,HKG,1,0,0,1,1996,USA
49,SYR,1,0,0,1,1996,USA
54,ARG,0,2,1,3,1996,USA
55,NAM,0,2,0,2,1996,USA
55,SLO,0,2,0,2,1996,USA
57,AUT,0,1,2,3,1996,USA
58,MAS,0,1,1,2,1996,USA
58,MDA,0,1,1,2,1996,USA
58,UZB,0,1,1,2,1996,USA
61,AZE,0,1,0,1,1996,USA
61,BAH,0,1,0,1,1996,USA
61,TPE,0,1,0,1,1996,USA
61,LAT,0,1,0,1,1996,USA
61,PHI,0,1,0,1,1996,USA
61,TGA,0,1,0,1,1996,USA
61,ZAM,0,1,0,1,1996,USA
68,GEO,0,0,2,2,1996,USA
68,MAR,0,0,2,2,1996,USA
68,TTO,0,0,2,2,1996,USA
71,IND,0,0,1,1,1996,USA
71,ISR,0,0,1,1,1996,USA
71,LTU,0,0,1,1,1996,USA
71,MEX,0,0,1,1,1996,USA
71,MGL,0,0,1,1,1996,USA
71,MOZ,0,0,1,1,1996,USA
71,PUR,0,0,1,1,1996,USA
71,TUN,0,0,1,1,1996,USA
71,UGA,0,0,1,1,1996,USA
1,USA,37,24,32,93,2000,AUS
2,RUS,32,28,29,89,2000,AUS
3,CHN,28,16,14,58,2000,AUS
4,AUS,16,25,17,58,2000,AUS
5,GER,13,17,26,56,2000,AUS
6,FRA,13,14,11,38,2000,AUS
7,ITA,13,8,13,34,2000,AUS
8,NED,12,9,4,25,2000,AUS
9,CUB,11,11,7,29,2000,AUS
10,GBR,11,10,7,28,2000,AUS
11,ROU,11,6,9,26,2000,AUS
12,KOR,8,10,10,28,2000,AUS
13,HUN,8,6,3,17,2000,AUS
14,POL,6,5,3,14,2000,AUS
15,JPN,5,8,5,18,2000,AUS
16,BUL,5,6,2,13,2000,AUS
17,GRE,4,6,3,13,2000,AUS
18,SWE,4,5,3,12,2000,AUS
19,NOR,4,3,3,10,2000,AUS
20,ETH,4,1,3,8,2000,AUS
21,UKR,3,10,10,23,2000,AUS
22,KAZ,3,4,0,7,2000,AUS
23,BLR,3,3,11,17,2000,AUS
24,CAN,3,3,8,14,2000,AUS
25,ESP,3,3,5,11,2000,AUS
26,TUR,3,0,2,5,2000,AUS
27,IRI,3,0,1,4,2000,AUS
28,CZE,2,3,3,8,2000,AUS
29,KEN,2,3,2,7,2000,AUS
30,DEN,2,3,1,6,2000,AUS
31,FIN,2,1,1,4,2000,AUS
32,AUT,2,1,0,3,2000,AUS
33,LTU,2,0,3,5,2000,AUS
34,AZE,2,0,1,3,2000,AUS
34,BAH,2,0,1,3,2000,AUS
36,SLO,2,0,0,2,2000,AUS
37,SUI,1,6,2,9,2000,AUS
38,INA,1,3,2,6,2000,AUS
39,SVK,1,3,1,5,2000,AUS
40,MEX,1,2,3,6,2000,AUS
41,NGR,1,2,0,3,2000,AUS
42,ALG,1,1,3,5,2000,AUS
43,UZB,1,1,2,4,2000,AUS
44,YUG,1,1,1,3,2000,AUS
44,LAT,1,1,1,3,2000,AUS
46,NZL,1,0,3,4,2000,AUS
47,EST,1,0,2,3,2000,AUS
47,THA,1,0,2,3,2000,AUS
49,CRO,1,0,1,2,2000,AUS
50,CMR,1,0,0,1,2000,AUS
50,COL,1,0,0,1,2000,AUS
50,MOZ,1,0,0,1,2000,AUS
53,BRA,0,6,6,12,2000,AUS
54,JAM,0,6,3,9,2000,AUS
55,BEL,0,2,3,5,2000,AUS
55,RSA,0,2,3,5,2000,AUS
57,ARG,0,2,2,4,2000,AUS
58,TPE,0,1,4,5,2000,AUS
58,MAR,0,1,4,5,2000,AUS
60,PRK,0,1,3,4,2000,AUS
61,MDA,0,1,1,2,2000,AUS
61,KSA,0,1,1,2,2000,AUS
61,TTO,0,1,1,2,2000,AUS
64,IRL,0,1,0,1,2000,AUS
64,SRI,0,1,0,1,2000,AUS
64,URU,0,1,0,1,2000,AUS
64,VIE,0,1,0,1,2000,AUS
68,GEO,0,0,6,6,2000,AUS
69,CRC,0,0,2,2,2000,AUS
69,POR,0,0,2,2,2000,AUS
71,ARM,0,0,1,1,2000,AUS
71,BAR,0,0,1,1,2000,AUS
71,CHI,0,0,1,1,2000,AUS
71,ISL,0,0,1,1,2000,AUS
71,IND,0,0,1,1,2000,AUS
71,ISR,0,0,1,1,2000,AUS
71,KUW,0,0,1,1,2000,AUS
71,KGZ,0,0,1,1,2000,AUS
71,MKD,0,0,1,1,2000,AUS
71,QAT,0,0,1,1,2000,AUS
1,USA,36,39,26,101,2004,GRE
2,CHN,32,17,14,63,2004,GRE
3,RUS,28,26,36,90,2004,GRE
4,AUS,17,16,17,50,2004,GRE
5,JPN,16,9,12,37,2004,GRE
6,GER,13,16,20,49,2004,GRE
7,FRA,11,9,13,33,2004,GRE
8,ITA,10,11,11,32,2004,GRE
9,KOR,9,12,9,30,2004,GRE
10,GBR,9,9,12,30,2004,GRE
11,CUB,9,7,11,27,2004,GRE
12,HUN,8,6,3,17,2004,GRE
13,UKR,8,5,9,22,2004,GRE
14,ROU,8,5,6,19,2004,GRE
15,GRE,6,6,4,16,2004,GRE
16,BRA,5,2,3,10,2004,GRE
17,NOR,5,0,1,6,2004,GRE
18,NED,4,9,9,22,2004,GRE
19,SWE,4,2,1,7,2004,GRE
20,ESP,3,11,6,20,2004,GRE
21,CAN,3,6,3,12,2004,GRE
22,TUR,3,3,4,10,2004,GRE
23,POL,3,2,5,10,2004,GRE
24,NZL,3,2,0,5,2004,GRE
25,THA,3,1,4,8,2004,GRE
26,BLR,2,5,6,13,2004,GRE
27,AUT,2,4,1,7,2004,GRE
28,ETH,2,3,2,7,2004,GRE
29,IRI,2,2,2,6,2004,GRE
29,SVK,2,2,2,6,2004,GRE
31,TPE,2,2,1,5,2004,GRE
32,GEO,2,2,0,4,2004,GRE
33,BUL,2,1,9,12,2004,GRE
34,DEN,2,1,5,8,2004,GRE
35,JAM,2,1,2,5,2004,GRE
35,UZB,2,1,2,5,2004,GRE
37,MAR,2,1,0,3,2004,GRE
38,ARG,2,0,4,6,2004,GRE
39,CHI,2,0,1,3,2004,GRE
40,KAZ,1,4,3,8,2004,GRE
41,KEN,1,4,2,7,2004,GRE
42,CZE,1,3,5,9,2004,GRE
43,RSA,1,3,2,6,2004,GRE
44,CRO,1,2,2,5,2004,GRE
45,LTU,1,2,0,3,2004,GRE
46,EGY,1,1,3,5,2004,GRE
46,SUI,1,1,3,5,2004,GRE
48,INA,1,1,2,4,2004,GRE
49,ZIM,1,1,1,3,2004,GRE
50,AZE,1,0,4,5,2004,GRE
51,BEL,1,0,2,3,2004,GRE
52,BAH,1,0,1,2,2004,GRE
52,ISR,1,0,1,2,2004,GRE
54,CMR,1,0,0,1,2004,GRE
54,DOM,1,0,0,1,2004,GRE
54,UAE,1,0,0,1,2004,GRE
57,PRK,0,4,1,5,2004,GRE
58,LAT,0,4,0,4,2004,GRE
59,MEX,0,3,1,4,2004,GRE
60,POR,0,2,1,3,2004,GRE
61,FIN,0,2,0,2,2004,GRE
61,SCG,0,2,0,2,2004,GRE
63,SLO,0,1,3,4,2004,GRE
64,EST,0,1,2,3,2004,GRE
65,HKG,0,1,0,1,2004,GRE
65,IND,0,1,0,1,2004,GRE
65,PAR,0,1,0,1,2004,GRE
68,COL,0,0,2,2,2004,GRE
68,NGR,0,0,2,2,2004,GRE
68,VEN,0,0,2,2,2004,GRE
71,ERI,0,0,1,1,2004,GRE
71,MGL,0,0,1,1,2004,GRE
71,SYR,0,0,1,1,2004,GRE
71,TTO,0,0,1,1,2004,GRE
1,CHN,48,22,30,100,2008,CHN
2,USA,36,39,37,112,2008,CHN
3,RUS,24,13,23,60,2008,CHN
4,GBR,19,13,19,51,2008,CHN
5,GER,16,11,14,41,2008,CHN
6,AUS,14,15,17,46,2008,CHN
7,KOR,13,11,8,32,2008,CHN
8,JPN,9,8,8,25,2008,CHN
9,ITA,8,9,10,27,2008,CHN
10,FRA,7,16,20,43,2008,CHN
11,NED,7,5,4,16,2008,CHN
12,UKR,7,4,11,22,2008,CHN
13,KEN,6,4,6,16,2008,CHN
14,ESP,5,11,3,19,2008,CHN
15,JAM,5,4,2,11,2008,CHN
16,POL,4,5,2,11,2008,CHN
17,ETH,4,2,1,7,2008,CHN
18,ROU,4,1,4,9,2008,CHN
19,CUB,3,10,17,30,2008,CHN
20,CAN,3,9,8,20,2008,CHN
21,HUN,3,5,2,10,2008,CHN
22,NOR,3,5,1,9,2008,CHN
23,BRA,3,4,10,17,2008,CHN
24,BLR,3,4,7,14,2008,CHN
25,CZE,3,3,1,7,2008,CHN
26,SVK,3,3,0,6,2008,CHN
27,NZL,3,2,4,9,2008,CHN
28,GEO,3,2,2,7,2008,CHN
29,KAZ,2,3,4,9,2008,CHN
30,DEN,2,2,3,7,2008,CHN
31,PRK,2,2,2,6,2008,CHN
31,THA,2,2,2,6,2008,CHN
33,MGL,2,2,0,4,2008,CHN
34,SUI,2,1,4,7,2008,CHN
35,ARG,2,0,4,6,2008,CHN
36,MEX,2,0,2,4,2008,CHN
37,BEL,2,0,0,2,2008,CHN
38,ZIM,1,3,0,4,2008,CHN
39,SLO,1,2,2,5,2008,CHN
40,AZE,1,1,4,6,2008,CHN
40,INA,1,1,4,6,2008,CHN
42,BUL,1,1,3,5,2008,CHN
42,TUR,1,1,3,5,2008,CHN
44,TPE,1,1,2,4,2008,CHN
44,FIN,1,1,2,4,2008,CHN
46,LAT,1,1,1,3,2008,CHN
47,DOM,1,1,0,2,2008,CHN
47,EST,1,1,0,2,2008,CHN
47,POR,1,1,0,2,2008,CHN
47,TTO,1,1,0,2,2008,CHN
51,IND,1,0,2,3,2008,CHN
52,IRI,1,0,1,2,2008,CHN
53,CMR,1,0,0,1,2008,CHN
53,PAN,1,0,0,1,2008,CHN
53,TUN,1,0,0,1,2008,CHN
56,SWE,0,4,1,5,2008,CHN
57,LTU,0,3,2,5,2008,CHN
57,NGR,0,3,2,5,2008,CHN
59,CRO,0,2,3,5,2008,CHN
60,COL,0,2,1,3,2008,CHN
60,GRE,0,2,1,3,2008,CHN
62,ARM,0,1,4,5,2008,CHN
63,UZB,0,1,3,4,2008,CHN
64,AUT,0,1,2,3,2008,CHN
64,IRL,0,1,2,3,2008,CHN
64,KGZ,0,1,2,3,2008,CHN
64,SRB,0,1,2,3,2008,CHN
68,ALG,0,1,1,2,2008,CHN
68,BAH,0,1,1,2,2008,CHN
68,MAR,0,1,1,2,2008,CHN
68,TJK,0,1,1,2,2008,CHN
72,CHI,0,1,0,1,2008,CHN
72,ECU,0,1,0,1,2008,CHN
72,ISL,0,1,0,1,2008,CHN
72,MAS,0,1,0,1,2008,CHN
72,SAM,0,1,0,1,2008,CHN
72,SGP,0,1,0,1,2008,CHN
72,RSA,0,1,0,1,2008,CHN
72,SUD,0,1,0,1,2008,CHN
72,VIE,0,1,0,1,2008,CHN
81,EGY,0,0,2,2,2008,CHN
82,AFG,0,0,1,1,2008,CHN
82,ISR,0,0,1,1,2008,CHN
82,MRI,0,0,1,1,2008,CHN
82,MDA,0,0,1,1,2008,CHN
82,TOG,0,0,1,1,2008,CHN
82,VEN,0,0,1,1,2008,CHN
1,USA,48,26,30,104,2012,GBR
2,CHN,39,31,22,92,2012,GBR
3,GBR,29,18,18,65,2012,GBR
4,RUS,18,21,26,65,2012,GBR
5,KOR,13,9,9,31,2012,GBR
6,GER,11,20,13,44,2012,GBR
7,FRA,11,11,13,35,2012,GBR
8,AUS,8,15,12,35,2012,GBR
9,ITA,8,9,11,28,2012,GBR
10,HUN,8,4,6,18,2012,GBR
11,JPN,7,14,17,38,2012,GBR
12,IRI,7,5,1,13,2012,GBR
13,NED,6,6,8,20,2012,GBR
14,NZL,6,2,5,13,2012,GBR
15,UKR,5,4,10,19,2012,GBR
16,CUB,5,3,7,15,2012,GBR
17,ESP,4,10,6,20,2012,GBR
18,JAM,4,5,4,13,2012,GBR
19,CZE,4,4,3,11,2012,GBR
20,RSA,4,1,1,6,2012,GBR
21,PRK,4,0,2,6,2012,GBR
22,BRA,3,5,9,17,2012,GBR
23,KAZ,3,2,6,11,2012,GBR
23,POL,3,2,6,11,2012,GBR
25,ETH,3,2,3,8,2012,GBR
26,CRO,3,1,2,6,2012,GBR
27,CAN,2,6,10,18,2012,GBR
28,BLR,2,5,3,10,2012,GBR
29,KEN,2,4,7,13,2012,GBR
30,DEN,2,4,3,9,2012,GBR
31,ROU,2,4,1,7,2012,GBR
32,AZE,2,2,5,9,2012,GBR
33,SUI,2,2,0,4,2012,GBR
34,NOR,2,1,1,4,2012,GBR
35,LTU,2,0,3,5,2012,GBR
36,TUN,2,0,1,3,2012,GBR
37,SWE,1,4,3,8,2012,GBR
38,COL,1,3,5,9,2012,GBR
39,MEX,1,3,4,8,2012,GBR
40,GEO,1,2,3,6,2012,GBR
41,IRL,1,1,4,6,2012,GBR
42,ARG,1,1,2,4,2012,GBR
42,SRB,1,1,2,4,2012,GBR
42,SLO,1,1,2,4,2012,GBR
42,TTO,1,1,2,4,2012,GBR
46,TUR,1,1,1,3,2012,GBR
47,DOM,1,1,0,2,2012,GBR
48,TPE,1,0,1,2,2012,GBR
48,LAT,1,0,1,2,2012,GBR
50,ALG,1,0,0,1,2012,GBR
50,BAH,1,0,0,1,2012,GBR
50,BRN,1,0,0,1,2012,GBR
50,GRN,1,0,0,1,2012,GBR
50,UGA,1,0,0,1,2012,GBR
50,VEN,1,0,0,1,2012,GBR
56,EGY,0,3,1,4,2012,GBR
57,IND,0,2,4,6,2012,GBR
58,MGL,0,2,3,5,2012,GBR
59,THA,0,2,2,4,2012,GBR
60,BUL,0,2,1,3,2012,GBR
60,FIN,0,2,1,3,2012,GBR
60,INA,0,2,1,3,2012,GBR
63,SVK,0,1,3,4,2012,GBR
64,BEL,0,1,2,3,2012,GBR
65,ARM,0,1,1,2,2012,GBR
65,EST,0,1,1,2,2012,GBR
65,MAS,0,1,1,2,2012,GBR
65,PUR,0,1,1,2,2012,GBR
65,QAT,0,1,1,2,2012,GBR
70,BOT,0,1,0,1,2012,GBR
70,CYP,0,1,0,1,2012,GBR
70,GAB,0,1,0,1,2012,GBR
70,GUA,0,1,0,1,2012,GBR
70,MNE,0,1,0,1,2012,GBR
70,POR,0,1,0,1,2012,GBR
76,UZB,0,0,3,3,2012,GBR
77,GRE,0,0,2,2,2012,GBR
77,SGP,0,0,2,2,2012,GBR
79,AFG,0,0,1,1,2012,GBR
79,CMR,0,0,1,1,2012,GBR
79,HKG,0,0,1,1,2012,GBR
79,KUW,0,0,1,1,2012,GBR
79,MAR,0,0,1,1,2012,GBR
79,KSA,0,0,1,1,2012,GBR
79,TJK,0,0,1,1,2012,GBR
79,VIE,0,0,1,1,2012,GBR
1,USA,46,37,38,121,2016,BRA
2,GBR,27,23,17,67,2016,BRA
3,CHN,26,18,26,70,2016,BRA
4,RUS,19,17,20,56,2016,BRA
5,GER,17,10,15,42,2016,BRA
6,JPN,12,8,21,41,2016,BRA
7,FRA,10,18,14,42,2016,BRA
8,KOR,9,3,9,21,2016,BRA
9,ITA,8,12,8,28,2016,BRA
10,AUS,8,11,10,29,2016,BRA
11,NED,8,7,4,19,2016,BRA
12,HUN,8,3,4,15,2016,BRA
13,BRA,7,6,6,19,2016,BRA
14,ESP,7,4,6,17,2016,BRA
15,KEN,6,6,1,13,2016,BRA
16,JAM,6,3,2,11,2016,BRA
17,CRO,5,3,2,10,2016,BRA
18,CUB,5,2,4,11,2016,BRA
19,NZL,4,9,5,18,2016,BRA
20,CAN,4,3,15,22,2016,BRA
21,UZB,4,2,7,13,2016,BRA
22,COL,3,2,3,8,2016,BRA
23,SUI,3,2,2,7,2016,BRA
24,IRI,3,1,4,8,2016,BRA
25,GRE,3,1,2,6,2016,BRA
26,ARG,3,1,0,4,2016,BRA
27,DEN,2,6,7,15,2016,BRA
28,SWE,2,6,3,11,2016,BRA
29,RSA,2,6,2,10,2016,BRA
30,KAZ,2,5,10,17,2016,BRA
31,UKR,2,5,4,11,2016,BRA
32,SRB,2,4,2,8,2016,BRA
33,POL,2,3,6,11,2016,BRA
34,PRK,2,3,2,7,2016,BRA
35,BEL,2,2,2,6,2016,BRA
35,THA,2,2,2,6,2016,BRA
37,SVK,2,2,0,4,2016,BRA
38,GEO,2,1,4,7,2016,BRA
39,AZE,1,7,10,18,2016,BRA
40,BLR,1,4,4,9,2016,BRA
41,TUR,1,3,4,8,2016,BRA
42,ARM,1,3,0,4,2016,BRA
43,CZE,1,2,7,10,2016,BRA
44,ETH,1,2,5,8,2016,BRA
45,SLO,1,2,1,4,2016,BRA
46,INA,1,2,0,3,2016,BRA
47,ROU,1,1,2,4,2016,BRA
48,BRN,1,1,0,2,2016,BRA
48,VIE,1,1,0,2,2016,BRA
50,TPE,1,0,2,3,2016,BRA
51,BAH,1,0,1,2,2016,BRA
51,Independent Olympic Athletes,1,0,1,2,2016,BRA
51,CIV,1,0,1,2,2016,BRA
54,FIJ,1,0,0,1,2016,BRA
54,JOR,1,0,0,1,2016,BRA
54,KOS,1,0,0,1,2016,BRA
54,PUR,1,0,0,1,2016,BRA
54,SGP,1,0,0,1,2016,BRA
54,TJK,1,0,0,1,2016,BRA
60,MAS,0,4,1,5,2016,BRA
61,MEX,0,3,2,5,2016,BRA
62,VEN,0,2,1,3,2016,BRA
63,ALG,0,2,0,2,2016,BRA
63,IRL,0,2,0,2,2016,BRA
65,LTU,0,1,3,4,2016,BRA
66,BUL,0,1,2,3,2016,BRA
67,IND,0,1,1,2,2016,BRA
67,MGL,0,1,1,2,2016,BRA
69,BDI,0,1,0,1,2016,BRA
69,GRN,0,1,0,1,2016,BRA
69,NIG,0,1,0,1,2016,BRA
69,PHI,0,1,0,1,2016,BRA
69,QAT,0,1,0,1,2016,BRA
74,NOR,0,0,4,4,2016,BRA
75,EGY,0,0,3,3,2016,BRA
75,TUN,0,0,3,3,2016,BRA
77,ISR,0,0,2,2,2016,BRA
78,AUT,0,0,1,1,2016,BRA
78,DOM,0,0,1,1,2016,BRA
78,EST,0,0,1,1,2016,BRA
78,FIN,0,0,1,1,2016,BRA
78,MAR,0,0,1,1,2016,BRA
78,NGR,0,0,1,1,2016,BRA
78,POR,0,0,1,1,2016,BRA
78,TTO,0,0,1,1,2016,BRA
78,UAE,0,0,1,1,2016,BRA
1,USA,39,41,33,113,2020,
2,CHN,38,32,19,89,2020,
3,JPN,27,14,17,58,2020,
4,GBR,22,20,22,64,2020,
5,ROC,20,28,23,71,2020,
6,AUS,17,7,22,46,2020,
7,NED,10,12,14,36,2020,
8,FRA,10,12,11,33,2020,
9,GER,10,11,16,37,2020,
10,ITA,10,10,20,40,2020,
11,CAN,7,7,10,24,2020,
12,BRA,7,6,8,21,2020,
13,NZL,7,6,7,20,2020,
14,CUB,7,3,5,15,2020,
15,HUN,6,7,7,20,2020,
16,KOR,6,4,10,20,2020,
17,POL,4,5,5,14,2020,
18,CZE,4,4,3,11,2020,
19,KEN,4,4,2,10,2020,
20,NOR,4,2,2,8,2020,
21,JAM,4,1,4,9,2020,
22,ESP,3,8,6,17,2020,
23,SWE,3,6,0,9,2020,
24,SUI,3,4,6,13,2020,
25,DEN,3,4,4,11,2020,
26,CRO,3,3,2,8,2020,
27,IRI,3,2,2,7,2020,
28,SRB,3,1,5,9,2020,
29,BEL,3,1,3,7,2020,
30,BUL,3,1,2,6,2020,
31,SLO,3,1,1,5,2020,
32,UZB,3,0,2,5,2020,
33,GEO,2,5,1,8,2020,
34,TPE,2,4,6,12,2020,
35,TUR,2,2,9,13,2020,
36,GRE,2,1,1,4,2020,
36,UGA,2,1,1,4,2020,
38,ECU,2,1,0,3,2020,
39,IRL,2,0,2,4,2020,
39,ISR,2,0,2,4,2020,
41,QAT,2,0,1,3,2020,
42,BAH,2,0,0,2,2020,
42,KOS,2,0,0,2,2020,
44,UKR,1,6,12,19,2020,
45,BLR,1,3,3,7,2020,
46,ROU,1,3,0,4,2020,
46,VEN,1,3,0,4,2020,
48,IND,1,2,4,7,2020,
49,HKG,1,2,3,6,2020,
50,PHI,1,2,1,4,2020,
50,SVK,1,2,1,4,2020,
52,RSA,1,2,0,3,2020,
53,AUT,1,1,5,7,2020,
54,EGY,1,1,4,6,2020,
55,INA,1,1,3,5,2020,
56,ETH,1,1,2,4,2020,
56,POR,1,1,2,4,2020,
58,TUN,1,1,0,2,2020,
59,EST,1,0,1,2,2020,
59,FIJ,1,0,1,2,2020,
59,LAT,1,0,1,2,2020,
59,THA,1,0,1,2,2020,
63,BER,1,0,0,1,2020,
63,MAR,1,0,0,1,2020,
63,PUR,1,0,0,1,2020,
66,COL,0,4,1,5,2020,
67,AZE,0,3,4,7,2020,
68,DOM,0,3,2,5,2020,
69,ARM,0,2,2,4,2020,
70,KGZ,0,2,1,3,2020,
71,MGL,0,1,3,4,2020,
72,ARG,0,1,2,3,2020,
72,SMR,0,1,2,3,2020,
74,JOR,0,1,1,2,2020,
74,MAS,0,1,1,2,2020,
74,NGR,0,1,1,2,2020,
77,BRN,0,1,0,1,2020,
77,LTU,0,1,0,1,2020,
77,NAM,0,1,0,1,2020,
77,MKD,0,1,0,1,2020,
77,KSA,0,1,0,1,2020,
77,TKM,0,1,0,1,2020,
83,KAZ,0,0,8,8,2020,
84,MEX,0,0,4,4,2020,
85,FIN,0,0,2,2,2020,
86,BOT,0,0,1,1,2020,
86,BUR,0,0,1,1,2020,
86,GHA,0,0,1,1,2020,
86,GRN,0,0,1,1,2020,
86,CIV,0,0,1,1,2020,
86,KUW,0,0,1,1,2020,
86,MDA,0,0,1,1,2020,
86,SYR,0,0,1,1,2020,
1,USA,40,44,42,126,2024,FRA
2,CHN,40,27,24,91,2024,FRA
3,JPN,20,12,13,45,2024,FRA
4,AUS,18,19,16,53,2024,FRA
5,FRA,16,26,22,64,2024,FRA
6,NED,15,7,12,34,2024,FRA
7,GBR,14,22,29,65,2024,FRA
8,KOR,13,9,10,32,2024,FRA
9,ITA,12,13,15,40,2024,FRA
10,GER,12,13,8,33,2024,FRA
11,NZL,10,7,3,20,2024,FRA
12,CAN,9,7,11,27,2024,FRA
13,UZB,8,2,3,13,2024,FRA
14,HUN,6,7,6,19,2024,FRA
15,ESP,5,4,9,18,2024,FRA
16,SWE,4,4,3,11,2024,FRA
17,KEN,4,2,5,11,2024,FRA
18,NOR,4,1,3,8,2024,FRA
19,IRL,4,0,3,7,2024,FRA
